Scraped At,Top Section,Subcategory,Product Name,Brand (heuristic/listing),Price,Original Price,Discount,Rating (listing),Rating (detail),Reviews Count (listing),Reviews Count (detail),Target Audience,Availability,Seller,Product URL,Image URL (listing),Image URLs (detail),Short Description,Full Description,Breadcrumb,Page
2026-06-01 11:48:15,Accessories,(All),NISKO Silver Steel Cylinder Trolley ( Pack of 2 ),NISKO,Rs. 282,Rs. 999,72% Off,(10),3.8,10,0,Unspecified,In Stock,,https://www.snapdeal.com/product/nisko-silver-steel-cylinder-trolley/650437401440#bcrumbSearch:accessories,https://g.sdlcdn.com/imgs/l/m/i/NISKO-Silver-Steel-Cylinder-Trolley-SDL806584068-1-7020c.jpg?w=220&h=258&sharp=7,https://g.sdlcdn.com/imgs/l/m/i/NISKO-Silver-Steel-Cylinder-Trolley-SDL806584068-1-7020c.jpg,,"NISKO
Type:Cylinder Trolley
Material:Steel
Color:Silver
Weight Carrying Capacity (g):1000
Warranty:Not Available
Key Features:Rust Resistant
Pack:Pack of 2
BIS/ISI License number:NA
BIS/ISI required:NA
Model Name/Number:CYLINDER TROLLEY PACK_OF 2
SUPC: SDL806584068",,1
2026-06-01 11:48:20,Accessories,(All),Blubby Multi Clutcher ( Pack of 1 ),Blubby,Rs. 197,Rs. 999,80% Off,(618),4.1,618,0,Unspecified,In Stock,,https://www.snapdeal.com/product/blubby-multi-clutcher-pack-of/654875721473#bcrumbSearch:accessories,https://g.sdlcdn.com/imgs/k/7/o/Blubby-Multi-Clutcher-Pack-of-SDL566681677-1-b6caf.png?w=220&h=258&sharp=7,"https://g.sdlcdn.com/imgs/k/7/o/Blubby-Multi-Clutcher-Pack-of-SDL566681677-1-b6caf.png, https://g.sdlcdn.com/imgs/k/7/o/Blubby-Multi-Clutcher-Pack-of-SDL566681677-2-0fc04.jpg, https://g.sdlcdn.com/imgs/k/7/o/Blubby-Multi-Clutcher-Pack-of-SDL566681677-3-1c6d2.jpg, https://g.sdlcdn.com/imgs/k/7/o/Blubby-Multi-Clutcher-Pack-of-SDL566681677-4-ac2dc.jpg, https://g.sdlcdn.com/imgs/k/7/o/Blubby-Multi-Clutcher-Pack-of-SDL566681677-5-d388d.png, https://g.sdlcdn.com/imgs/k/7/o/Blubby-Multi-Clutcher-Pack-of-SDL566681677-6-4d646.png, https://g.sdlcdn.com/imgs/k/7/o/Blubby-Multi-Clutcher-Pack-of-SDL566681677-7-5f547.png, https://g.sdlcdn.com/imgs/k/7/o/Blubby-Multi-Clutcher-Pack-of-SDL566681677-8-0a209.png",,"Blubby
Color:Multi
Type:Clutcher
Material:Metal
Key Features:versatility, style, durability, and comfort
Pattern:Solid
Pattern or Print Type:Ethnic
Pack:Pack of 1
Shop By Occasion:Party
BIS/ISI License number:NA
BIS/ISI required:NA
SUPC: SDL566681677",,1
2026-06-01 11:48:25,Accessories,(All),ENTICE Black Polyester Men's Long Raincoat ( Pack of 1 ),ENTICE,Rs. 260,Rs. 999,74% Off,(399),4.0,399,0,Male,In Stock,,https://www.snapdeal.com/product/entice-black-polyester-mens-long/674770293553#bcrumbSearch:accessories,https://g.sdlcdn.com/imgs/l/e/n/ENTICE-Black-Polyester-Men-s-SDL066647541-1-ea813.jpg?w=220&h=258&sharp=7,"https://g.sdlcdn.com/imgs/l/e/n/ENTICE-Black-Polyester-Men-s-SDL066647541-1-ea813.jpg, https://g.sdlcdn.com/imgs/l/e/n/ENTICE-Black-Polyester-Men-s-SDL066647541-2-8ef99.jpg, https://g.sdlcdn.com/imgs/l/e/n/ENTICE-Black-Polyester-Men-s-SDL066647541-3-d70ad.jpg",,"ENTICE
Fabric:Polyester
Color:Black
Type:Long Raincoat
Pack:Pack of 1
Hood:Without Hood
Product Length:Regular
The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship.
SUPC: SDL066647541",,1
2026-06-01 11:48:29,Accessories,(All),PLIMA Pack of 5 Men's Cotton Ankle Length Socks ( Multicolor ),PLIMA,Rs. 139,Rs. 499,72% Off,(4310),4.0,4310,0,Male,In Stock,,https://www.snapdeal.com/product/plima-pack-of-5-mens/679300113838#bcrumbSearch:accessories,https://g.sdlcdn.com/imgs/l/n/a/679300113838-c5023.jpg?w=220&h=258&sharp=7,"https://g.sdlcdn.com/imgs/l/n/a/679300113838-c5023.jpg, https://g.sdlcdn.com/imgs/k/2/8/PLIMA-Pack-of-5-Men-SDL016947106-1-08ac0.jpg, https://g.sdlcdn.com/imgs/k/2/8/PLIMA-Pack-of-5-Men-SDL016947106-2-08d3d.jpg, https://g.sdlcdn.com/imgs/k/2/8/PLIMA-Pack-of-5-Men-SDL016947106-3-c8e19.jpg",,"PLIMA
Color:Multicolor
Material:Cotton
Type:Ankle Length Socks
Pattern or Print Type:Striped
Pattern:Striped
Pack:Pack of 5
Style Code/Name:Panthr-05
SUPC: SDL016947106",,1
2026-06-01 11:48:33,Accessories,(All),Bentag Multicolor Virgin Plastic Cigarette Lighter ( Pack of 1 ),Bentag,Rs. 158,Rs. 799,80% Off,(760),3.7,760,0,Unspecified,In Stock,,https://www.snapdeal.com/product/bentag-multicolor-virgin-plastic-cigarette/651961812502#bcrumbSearch:accessories,https://g.sdlcdn.com/imgs/k/x/5/Bentag-Multicolor-Virgin-Plastic-Cigarette-SDL469591195-1-c7841.png?w=220&h=258&sharp=7,"https://g.sdlcdn.com/imgs/k/x/5/Bentag-Multicolor-Virgin-Plastic-Cigarette-SDL469591195-1-c7841.png, https://g.sdlcdn.com/imgs/k/x/5/Bentag-Multicolor-Virgin-Plastic-Cigarette-SDL469591195-2-7e154.png, https://g.sdlcdn.com/imgs/k/x/5/Bentag-Multicolor-Virgin-Plastic-Cigarette-SDL469591195-3-0a7ef.png, https://g.sdlcdn.com/imgs/k/x/5/Bentag-Multicolor-Virgin-Plastic-Cigarette-SDL469591195-4-b3d35.png, https://g.sdlcdn.com/imgs/k/x/5/Bentag-Multicolor-Virgin-Plastic-Cigarette-SDL469591195-5-ba14e.png",,"Bentag
Color:Multicolor
Material:Virgin Plastic
Closure Type:Press and Release
Combo:1
Pack:Pack of 1
Upper Pattern:Solid
Dimensions (LXBXH) in cms of each piece::8*2*1
Capacity (Number of Cigarette & Cigar):1
BIS/ISI License number:NA
BIS/ISI required:NA
SUPC: SDL469591195",,1
2026-06-01 11:48:37,Accessories,(All),Loopa - Black Leather Men's Formal Belt ( Pack of 1 ),Loopa,Rs. 167,"Rs. 1,099",85% Off,(2444),4.1,2444,0,Male,In Stock,,https://www.snapdeal.com/product/loopa-black-leather-mens-formal/634014569693#bcrumbSearch:accessories,https://g.sdlcdn.com/imgs/k/p/i/Loopa-Black-Leather-Men-s-SDL344530276-1-bf880.jpg?w=220&h=258&sharp=7,"https://g.sdlcdn.com/imgs/k/p/i/Loopa-Black-Leather-Men-s-SDL344530276-1-bf880.jpg, https://g.sdlcdn.com/imgs/k/p/i/Loopa-Black-Leather-Men-s-SDL344530276-2-65967.jpg, https://g.sdlcdn.com/imgs/k/p/i/Loopa-Black-Leather-Men-s-SDL344530276-3-c6ca8.jpg, https://g.sdlcdn.com/imgs/k/p/i/Loopa-Black-Leather-Men-s-SDL344530276-4-e6aaf.jpg, https://g.sdlcdn.com/imgs/k/p/i/Loopa-Black-Leather-Men-s-SDL344530276-5-34c31.jpg, https://g.sdlcdn.com/imgs/k/p/i/Loopa-Black-Leather-Men-s-SDL344530276-6-ffcb0.jpg, https://g.sdlcdn.com/imgs/k/p/i/Loopa-Black-Leather-Men-s-SDL344530276-7-e372d.jpg",,"Loopa
Color:Black
Material:Leather
Type:Formal Belt
Pack:Pack of 1
SUPC: SDL344530276",,1
2026-06-01 11:48:42,Accessories,(All),RPM Euro Games DPI 2400 Wireless Mouse,RPM,Rs. 343,Rs. 990,65% Off,(156),4.1,156,0,Unspecified,In Stock,,https://www.snapdeal.com/product/rpm-euro-games-dpi-2400/672236810903#bcrumbSearch:accessories,https://g.sdlcdn.com/imgs/k/0/q/RPM-Euro-Games-DPI-2400-SDL593384984-1-41471.jpeg?w=220&h=258&sharp=7,"https://g.sdlcdn.com/imgs/k/0/q/RPM-Euro-Games-DPI-2400-SDL593384984-1-41471.jpeg, https://g.sdlcdn.com/imgs/k/0/q/RPM-Euro-Games-DPI-2400-SDL593384984-2-9c4d0.jpg, https://g.sdlcdn.com/imgs/k/0/q/RPM-Euro-Games-DPI-2400-SDL593384984-3-1a359.jpg, https://g.sdlcdn.com/imgs/k/0/q/RPM-Euro-Games-DPI-2400-SDL593384984-4-b8454.jpg, https://g.sdlcdn.com/imgs/k/0/q/RPM-Euro-Games-DPI-2400-SDL593384984-5-e9678.jpg, https://g.sdlcdn.com/imgs/k/0/q/RPM-Euro-Games-DPI-2400-SDL593384984-6-7b1ba.jpg, https://g.sdlcdn.com/imgs/k/0/q/RPM-Euro-Games-DPI-2400-SDL593384984-7-70f15.jpg, https://g.sdlcdn.com/imgs/k/0/q/RPM-Euro-Games-DPI-2400-SDL593384984-8-63f19.jpeg, https://g.sdlcdn.com/imgs/k/0/q/RPM-Euro-Games-DPI-2400-SDL593384984-9-ef3e4.jpeg",,"Technology:Laser
USB Version:2.0
Resolution (DPI Sensor) Upto:2000
Number of Buttons:4
Connectivity:Wireless
Interface:2.4GHz Wireless
Bluetooth:No
Cable Length of mouse:NA
In the box:Mouse,USB Dongle,Warranty Card,Charging Cord
Colour:Black
OS Platform:Windows 10,Windows 7,Windows 8,Windows 8.1,Windows NT,Windows XP,Windows ME,Windows Vista,Mac OS
Warranty:1 Year Warranty
Model Number:DPI 2400
Inbuilt Rechargable Battery:Yes
Battery life:Upto 15 days
Connectivity Type:Wireless
BIS/ISI License number:NA
BIS/ISI required:NA
SUPC: SDL593384984",,1
2026-06-01 11:48:46,Accessories,(All),Bravezi Black Paisley Shawl - Single,Bravezi,Rs. 663,"Rs. 1,995",67% Off,(8),3.9,8,0,Unspecified,In Stock,,https://www.snapdeal.com/product/bravezi-black-paisley-shawl-single/618526676282#bcrumbSearch:accessories,https://g.sdlcdn.com/imgs/j/y/k/Bravezi-Black-Paisley-Shawl-Single-SDL767754246-1-b9c87.jpg?w=220&h=258&sharp=7,"https://g.sdlcdn.com/imgs/j/y/k/Bravezi-Black-Paisley-Shawl-Single-SDL767754246-1-b9c87.jpg, https://g.sdlcdn.com/imgs/j/y/k/Bravezi-Black-Paisley-Shawl-Single-SDL767754246-2-1736a.jpg, https://g.sdlcdn.com/imgs/j/y/k/Bravezi-Black-Paisley-Shawl-Single-SDL767754246-3-5f5d5.jpg, https://g.sdlcdn.com/imgs/j/y/k/Bravezi-Black-Paisley-Shawl-Single-SDL767754246-4-fe2b7.jpg, https://g.sdlcdn.com/imgs/j/y/k/Bravezi-Black-Paisley-Shawl-Single-SDL767754246-5-78a57.jpg, https://g.sdlcdn.com/imgs/j/y/k/Bravezi-Black-Paisley-Shawl-Single-SDL767754246-6-f3129.jpg",,"Fabric:Wool Blend
Color:Black
Combo Type:Single
Recommended Fabric Care:Hand Wash
Product Weight (in kg):0.4
Dimension (L*B) in metre:2*1
The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship.
SUPC: SDL767754246",,1
2026-06-01 11:48:50,Accessories,(All),Benicia Skin color Women's Biker Gloves ( Pack of 1 ),Benicia,Rs. 158,Rs. 500,68% Off,(103),4.3,103,0,Female,In Stock,,https://www.snapdeal.com/product/benicia-skin-color-womens-biker/672685582421#bcrumbSearch:accessories,,"https://g.sdlcdn.com/imgs/l/i/t/Benicia-Skin-color-Women-s-SDL957160584-1-32282.jpg, https://g.sdlcdn.com/imgs/l/i/t/Benicia-Skin-color-Women-s-SDL957160584-2-6ea13.jpg, https://g.sdlcdn.com/imgs/l/i/t/Benicia-Skin-color-Women-s-SDL957160584-3-9313f.jpg, https://g.sdlcdn.com/imgs/l/i/t/Benicia-Skin-color-Women-s-SDL957160584-4-80dfb.jpg, https://g.sdlcdn.com/imgs/l/i/t/Benicia-Skin-color-Women-s-SDL957160584-5-c2f31.jpg",,"Material:Nylon
Type:Biker Gloves
Color:Skin color
Benicia
Season:Summer
Pack:Pack of 1
Pattern:Solid
Shop By Occasion:Casual,Sports
Wash Care:Hand Wash,Machine Wash
BIS/ISI License number:NA
BIS/ISI required:NA
Style Code/Name:PRO RIDER
SUPC: SDL957160584",,1
2026-06-01 11:48:54,Accessories,(All),Opalite Chiffon Hijab Black For Eid and Ramadan,Opalite,Rs. 246,Rs. 499,51% Off,(15),4.9,15,0,Unspecified,In Stock,,https://www.snapdeal.com/product/opalite-chiffon-hijab-black-pack/644597623401#bcrumbSearch:accessories,,"https://g.sdlcdn.com/imgs/l/h/4/Opalite-Chiffon-Hijab-Black-Pack-SDL712395642-1-e0bfd.jpeg, https://g.sdlcdn.com/imgs/l/h/4/Opalite-Chiffon-Hijab-Black-Pack-SDL712395642-2-b45ba.jpeg",,"Opalite
Color:Black
Pack:Pack of 1
Pattern:Self Design
Stitch Type:Stitched
Type:Hijab
Fabric:Chiffon
Style Code/Name:D1 T11-12
Product Length (in cm):28
Product Colour May Slightly Vary Due to Photographic Lighting Sources or Your Monitor Settings.
SUPC: SDL712395642",,1
